timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 04:50:33.276, 22 %, 3 %, [N/A]
2025/06/02 04:50:38.351, 22 %, 3 %, [N/A]
2025/06/02 04:50:43.377, 20 %, 3 %, [N/A]
2025/06/02 04:50:48.406, 24 %, 4 %, [N/A]
2025/06/02 04:50:53.444, 21 %, 3 %, [N/A]
2025/06/02 04:50:58.479, 26 %, 4 %, [N/A]
2025/06/02 04:51:03.521, 24 %, 4 %, [N/A]
2025/06/02 04:51:08.534, 27 %, 4 %, [N/A]
2025/06/02 04:51:13.539, 27 %, 4 %, [N/A]
2025/06/02 04:51:18.559, 27 %, 4 %, [N/A]
2025/06/02 04:51:23.579, 21 %, 3 %, [N/A]
2025/06/02 04:51:28.590, 23 %, 3 %, [N/A]
2025/06/02 04:51:33.593, 26 %, 4 %, [N/A]
2025/06/02 04:51:38.608, 29 %, 4 %, [N/A]
2025/06/02 04:51:43.616, 24 %, 4 %, [N/A]
2025/06/02 04:51:48.628, 23 %, 3 %, [N/A]
2025/06/02 04:51:53.725, 22 %, 3 %, [N/A]
2025/06/02 04:51:58.755, 25 %, 4 %, [N/A]
2025/06/02 04:52:03.770, 21 %, 3 %, [N/A]
2025/06/02 04:52:08.806, 21 %, 3 %, [N/A]
2025/06/02 04:52:13.819, 24 %, 4 %, [N/A]
2025/06/02 04:52:18.840, 26 %, 4 %, [N/A]
2025/06/02 04:52:23.855, 25 %, 4 %, [N/A]
2025/06/02 04:52:28.925, 27 %, 4 %, [N/A]
2025/06/02 04:52:33.941, 26 %, 4 %, [N/A]
2025/06/02 04:52:38.997, 26 %, 4 %, [N/A]
2025/06/02 04:52:44.007, 27 %, 4 %, [N/A]
2025/06/02 04:52:49.045, 26 %, 4 %, [N/A]
2025/06/02 04:52:54.077, 27 %, 4 %, [N/A]
2025/06/02 04:52:59.126, 27 %, 4 %, [N/A]
2025/06/02 04:53:04.160, 26 %, 4 %, [N/A]
2025/06/02 04:53:09.178, 27 %, 4 %, [N/A]
2025/06/02 04:53:14.185, 26 %, 4 %, [N/A]
2025/06/02 04:53:19.188, 27 %, 4 %, [N/A]
2025/06/02 04:53:24.191, 27 %, 4 %, [N/A]
2025/06/02 04:53:29.196, 26 %, 4 %, [N/A]
2025/06/02 04:53:34.224, 22 %, 4 %, [N/A]
2025/06/02 04:53:39.227, 24 %, 4 %, [N/A]
2025/06/02 04:53:44.231, 26 %, 4 %, [N/A]
2025/06/02 04:53:49.237, 26 %, 4 %, [N/A]
2025/06/02 04:53:54.241, 26 %, 4 %, [N/A]
2025/06/02 04:53:59.248, 26 %, 4 %, [N/A]
2025/06/02 04:54:04.258, 25 %, 4 %, [N/A]
2025/06/02 04:54:09.278, 26 %, 4 %, [N/A]
2025/06/02 04:54:14.295, 26 %, 4 %, [N/A]
2025/06/02 04:54:19.297, 15 %, 2 %, [N/A]
2025/06/02 04:54:24.317, 5 %, 0 %, [N/A]
2025/06/02 04:54:29.391, 3 %, 0 %, [N/A]
