timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/06/01 20:45:36.517, 20 %, 2 %, [N/A], 0
2025/06/01 20:45:41.523, 18 %, 2 %, [N/A], 0
2025/06/01 20:45:46.528, 18 %, 2 %, [N/A], 0
2025/06/01 20:45:51.531, 18 %, 2 %, [N/A], 0
2025/06/01 20:45:56.535, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:01.537, 19 %, 2 %, [N/A], 0
2025/06/01 20:46:06.541, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:11.545, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:16.550, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:21.556, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:26.561, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:31.564, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:36.568, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:41.572, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:46.575, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:51.577, 18 %, 2 %, [N/A], 0
2025/06/01 20:46:56.584, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:01.587, 21 %, 2 %, [N/A], 0
2025/06/01 20:47:06.592, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:11.596, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:16.602, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:21.605, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:26.612, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:31.620, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:36.626, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:41.631, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:46.635, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:51.639, 18 %, 2 %, [N/A], 0
2025/06/01 20:47:56.643, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:01.647, 19 %, 2 %, [N/A], 0
2025/06/01 20:48:06.650, 19 %, 2 %, [N/A], 0
2025/06/01 20:48:11.655, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:16.661, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:21.665, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:26.668, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:31.672, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:36.675, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:41.678, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:46.682, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:51.685, 18 %, 2 %, [N/A], 0
2025/06/01 20:48:56.689, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:01.694, 19 %, 2 %, [N/A], 0
2025/06/01 20:49:06.699, 19 %, 2 %, [N/A], 0
2025/06/01 20:49:11.702, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:16.706, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:21.709, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:26.713, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:31.718, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:36.721, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:41.724, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:46.728, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:51.734, 18 %, 2 %, [N/A], 0
2025/06/01 20:49:56.739, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:01.744, 19 %, 2 %, [N/A], 0
2025/06/01 20:50:06.748, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:11.752, 20 %, 2 %, [N/A], 0
2025/06/01 20:50:16.756, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:21.760, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:26.764, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:31.768, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:36.772, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:41.777, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:46.781, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:51.785, 18 %, 2 %, [N/A], 0
2025/06/01 20:50:56.792, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:01.798, 19 %, 2 %, [N/A], 0
2025/06/01 20:51:06.803, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:11.812, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:16.818, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:21.823, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:26.827, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:31.831, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:36.835, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:41.838, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:46.842, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:51.847, 18 %, 2 %, [N/A], 0
2025/06/01 20:51:56.851, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:01.855, 19 %, 2 %, [N/A], 0
2025/06/01 20:52:06.858, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:11.860, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:16.865, 20 %, 2 %, [N/A], 0
2025/06/01 20:52:21.870, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:26.873, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:31.876, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:36.882, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:41.887, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:46.890, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:51.894, 18 %, 2 %, [N/A], 0
2025/06/01 20:52:56.898, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:01.901, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:06.904, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:11.908, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:16.914, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:21.919, 19 %, 2 %, [N/A], 0
2025/06/01 20:53:26.921, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:31.925, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:36.931, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:41.934, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:46.940, 18 %, 2 %, [N/A], 0
2025/06/01 20:53:51.946, 19 %, 2 %, [N/A], 0
2025/06/01 20:53:56.951, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:01.955, 19 %, 2 %, [N/A], 0
2025/06/01 20:54:06.961, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:11.966, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:16.971, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:21.973, 20 %, 2 %, [N/A], 0
2025/06/01 20:54:26.977, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:31.983, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:36.989, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:41.993, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:46.998, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:52.001, 18 %, 2 %, [N/A], 0
2025/06/01 20:54:57.004, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:02.008, 19 %, 2 %, [N/A], 0
2025/06/01 20:55:07.013, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:12.017, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:17.020, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:22.023, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:27.029, 20 %, 2 %, [N/A], 0
2025/06/01 20:55:32.032, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:37.036, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:42.040, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:47.046, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:52.049, 18 %, 2 %, [N/A], 0
2025/06/01 20:55:57.052, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:02.055, 19 %, 2 %, [N/A], 0
2025/06/01 20:56:07.058, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:12.064, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:17.067, 19 %, 2 %, [N/A], 0
2025/06/01 20:56:22.072, 19 %, 2 %, [N/A], 0
2025/06/01 20:56:27.079, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:32.082, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:37.085, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:42.088, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:47.091, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:52.096, 18 %, 2 %, [N/A], 0
2025/06/01 20:56:57.099, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:02.104, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:07.110, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:12.116, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:17.119, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:22.122, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:27.125, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:32.131, 20 %, 2 %, [N/A], 0
2025/06/01 20:57:37.135, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:42.138, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:47.142, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:52.148, 18 %, 2 %, [N/A], 0
2025/06/01 20:57:57.152, 18 %, 2 %, [N/A], 0
2025/06/01 20:58:02.155, 19 %, 2 %, [N/A], 0
2025/06/01 20:58:07.162, 6 %, 2 %, [N/A], 0
