timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 05:11:07.979, 25 %, 5 %, [N/A]
2025/06/02 05:11:13.130, 24 %, 5 %, [N/A]
2025/06/02 05:11:18.297, 22 %, 4 %, [N/A]
2025/06/02 05:11:23.313, 24 %, 5 %, [N/A]
2025/06/02 05:11:28.394, 27 %, 6 %, [N/A]
2025/06/02 05:11:33.425, 20 %, 4 %, [N/A]
2025/06/02 05:11:38.512, 28 %, 6 %, [N/A]
2025/06/02 05:11:43.542, 23 %, 4 %, [N/A]
2025/06/02 05:11:48.568, 24 %, 5 %, [N/A]
2025/06/02 05:11:53.587, 23 %, 5 %, [N/A]
2025/06/02 05:11:58.810, 23 %, 5 %, [N/A]
2025/06/02 05:12:03.814, 21 %, 4 %, [N/A]
2025/06/02 05:12:08.826, 23 %, 5 %, [N/A]
2025/06/02 05:12:13.829, 22 %, 4 %, [N/A]
2025/06/02 05:12:18.841, 21 %, 4 %, [N/A]
2025/06/02 05:12:23.845, 20 %, 4 %, [N/A]
2025/06/02 05:12:28.882, 20 %, 4 %, [N/A]
2025/06/02 05:12:33.921, 21 %, 4 %, [N/A]
2025/06/02 05:12:38.979, 22 %, 4 %, [N/A]
2025/06/02 05:12:44.008, 20 %, 4 %, [N/A]
2025/06/02 05:12:49.090, 22 %, 4 %, [N/A]
2025/06/02 05:12:54.112, 22 %, 4 %, [N/A]
2025/06/02 05:12:59.126, 21 %, 4 %, [N/A]
2025/06/02 05:13:04.141, 21 %, 4 %, [N/A]
2025/06/02 05:13:09.160, 22 %, 4 %, [N/A]
2025/06/02 05:13:14.171, 20 %, 4 %, [N/A]
2025/06/02 05:13:19.202, 22 %, 4 %, [N/A]
2025/06/02 05:13:24.251, 19 %, 4 %, [N/A]
2025/06/02 05:13:29.264, 21 %, 4 %, [N/A]
2025/06/02 05:13:34.274, 23 %, 4 %, [N/A]
2025/06/02 05:13:39.277, 24 %, 5 %, [N/A]
2025/06/02 05:13:44.296, 25 %, 5 %, [N/A]
2025/06/02 05:13:49.327, 23 %, 5 %, [N/A]
2025/06/02 05:13:54.368, 21 %, 4 %, [N/A]
2025/06/02 05:13:59.408, 21 %, 4 %, [N/A]
2025/06/02 05:14:04.420, 20 %, 4 %, [N/A]
2025/06/02 05:14:09.460, 21 %, 4 %, [N/A]
2025/06/02 05:14:14.480, 22 %, 4 %, [N/A]
2025/06/02 05:14:19.511, 21 %, 4 %, [N/A]
2025/06/02 05:14:24.539, 22 %, 4 %, [N/A]
2025/06/02 05:14:29.577, 22 %, 4 %, [N/A]
2025/06/02 05:14:34.597, 19 %, 4 %, [N/A]
2025/06/02 05:14:39.613, 31 %, 6 %, [N/A]
