timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 04:00:59.358, 29 %, 3 %, [N/A]
2025/06/02 04:01:04.362, 27 %, 3 %, [N/A]
2025/06/02 04:01:09.365, 26 %, 3 %, [N/A]
2025/06/02 04:01:14.367, 26 %, 3 %, [N/A]
2025/06/02 04:01:19.370, 26 %, 3 %, [N/A]
2025/06/02 04:01:24.372, 28 %, 3 %, [N/A]
2025/06/02 04:01:29.381, 29 %, 3 %, [N/A]
2025/06/02 04:01:34.384, 26 %, 3 %, [N/A]
2025/06/02 04:01:39.387, 27 %, 3 %, [N/A]
2025/06/02 04:01:44.389, 26 %, 3 %, [N/A]
2025/06/02 04:01:49.402, 26 %, 3 %, [N/A]
2025/06/02 04:01:54.406, 29 %, 3 %, [N/A]
2025/06/02 04:01:59.413, 32 %, 4 %, [N/A]
2025/06/02 04:02:04.416, 30 %, 3 %, [N/A]
2025/06/02 04:02:09.419, 30 %, 3 %, [N/A]
2025/06/02 04:02:14.431, 21 %, 3 %, [N/A]
2025/06/02 04:02:19.439, 23 %, 3 %, [N/A]
2025/06/02 04:02:24.467, 25 %, 4 %, [N/A]
2025/06/02 04:02:29.500, 25 %, 4 %, [N/A]
2025/06/02 04:02:34.502, 25 %, 4 %, [N/A]
2025/06/02 04:02:39.517, 25 %, 4 %, [N/A]
2025/06/02 04:02:44.520, 20 %, 3 %, [N/A]
2025/06/02 04:02:49.528, 14 %, 2 %, [N/A]
2025/06/02 04:02:54.552, 21 %, 3 %, [N/A]
2025/06/02 04:02:59.554, 22 %, 3 %, [N/A]
2025/06/02 04:03:04.557, 22 %, 4 %, [N/A]
2025/06/02 04:03:09.562, 22 %, 3 %, [N/A]
2025/06/02 04:03:14.565, 22 %, 3 %, [N/A]
2025/06/02 04:03:19.569, 23 %, 3 %, [N/A]
2025/06/02 04:03:24.670, 22 %, 3 %, [N/A]
2025/06/02 04:03:29.690, 23 %, 4 %, [N/A]
2025/06/02 04:03:34.696, 22 %, 3 %, [N/A]
2025/06/02 04:03:39.699, 22 %, 3 %, [N/A]
