timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 04:03:44.715, 22 %, 3 %, [N/A]
2025/06/02 04:03:49.719, 23 %, 4 %, [N/A]
2025/06/02 04:03:54.729, 22 %, 4 %, [N/A]
2025/06/02 04:03:59.740, 23 %, 3 %, [N/A]
2025/06/02 04:04:04.752, 23 %, 3 %, [N/A]
2025/06/02 04:04:09.754, 22 %, 4 %, [N/A]
2025/06/02 04:04:14.757, 22 %, 3 %, [N/A]
2025/06/02 04:04:19.762, 22 %, 3 %, [N/A]
2025/06/02 04:04:24.767, 22 %, 4 %, [N/A]
2025/06/02 04:04:29.774, 22 %, 3 %, [N/A]
2025/06/02 04:04:34.779, 23 %, 4 %, [N/A]
2025/06/02 04:04:39.788, 22 %, 3 %, [N/A]
2025/06/02 04:04:44.790, 23 %, 4 %, [N/A]
2025/06/02 04:04:49.793, 22 %, 4 %, [N/A]
2025/06/02 04:04:54.795, 23 %, 3 %, [N/A]
2025/06/02 04:04:59.798, 23 %, 4 %, [N/A]
2025/06/02 04:05:04.803, 23 %, 3 %, [N/A]
2025/06/02 04:05:09.807, 23 %, 4 %, [N/A]
2025/06/02 04:05:14.809, 22 %, 3 %, [N/A]
2025/06/02 04:05:19.814, 22 %, 4 %, [N/A]
2025/06/02 04:05:24.820, 22 %, 4 %, [N/A]
2025/06/02 04:05:29.828, 22 %, 3 %, [N/A]
2025/06/02 04:05:34.835, 22 %, 3 %, [N/A]
2025/06/02 04:05:39.845, 23 %, 3 %, [N/A]
2025/06/02 04:05:44.856, 23 %, 4 %, [N/A]
2025/06/02 04:05:49.860, 23 %, 4 %, [N/A]
2025/06/02 04:05:54.867, 23 %, 4 %, [N/A]
2025/06/02 04:05:59.870, 22 %, 4 %, [N/A]
2025/06/02 04:06:04.876, 23 %, 4 %, [N/A]
2025/06/02 04:06:09.879, 22 %, 3 %, [N/A]
2025/06/02 04:06:14.882, 23 %, 3 %, [N/A]
2025/06/02 04:06:19.886, 22 %, 3 %, [N/A]
2025/06/02 04:06:24.889, 22 %, 4 %, [N/A]
2025/06/02 04:06:29.892, 22 %, 4 %, [N/A]
2025/06/02 04:06:34.895, 22 %, 3 %, [N/A]
2025/06/02 04:06:39.898, 22 %, 3 %, [N/A]
2025/06/02 04:06:44.905, 23 %, 3 %, [N/A]
2025/06/02 04:06:49.909, 24 %, 4 %, [N/A]
2025/06/02 04:06:54.917, 23 %, 4 %, [N/A]
2025/06/02 04:06:59.920, 23 %, 4 %, [N/A]
2025/06/02 04:07:04.925, 23 %, 4 %, [N/A]
2025/06/02 04:07:09.929, 23 %, 4 %, [N/A]
2025/06/02 04:07:14.947, 22 %, 3 %, [N/A]
2025/06/02 04:07:19.949, 22 %, 3 %, [N/A]
2025/06/02 04:07:24.957, 23 %, 4 %, [N/A]
2025/06/02 04:07:29.967, 22 %, 3 %, [N/A]
2025/06/02 04:07:34.980, 22 %, 3 %, [N/A]
2025/06/02 04:07:39.986, 23 %, 3 %, [N/A]
2025/06/02 04:07:44.999, 23 %, 4 %, [N/A]
2025/06/02 04:07:50.007, 21 %, 4 %, [N/A]
2025/06/02 04:07:55.010, 19 %, 3 %, [N/A]
2025/06/02 04:08:00.029, 22 %, 3 %, [N/A]
2025/06/02 04:08:05.039, 22 %, 3 %, [N/A]
2025/06/02 04:08:10.043, 23 %, 4 %, [N/A]
2025/06/02 04:08:15.077, 22 %, 4 %, [N/A]
2025/06/02 04:08:20.089, 22 %, 4 %, [N/A]
2025/06/02 04:08:25.106, 22 %, 3 %, [N/A]
2025/06/02 04:08:30.110, 22 %, 4 %, [N/A]
2025/06/02 04:08:35.121, 21 %, 3 %, [N/A]
2025/06/02 04:08:40.123, 22 %, 3 %, [N/A]
2025/06/02 04:08:45.128, 21 %, 3 %, [N/A]
2025/06/02 04:08:50.137, 22 %, 3 %, [N/A]
2025/06/02 04:08:55.140, 23 %, 3 %, [N/A]
2025/06/02 04:09:00.251, 19 %, 3 %, [N/A]
2025/06/02 04:09:05.582, 23 %, 4 %, [N/A]
2025/06/02 04:09:10.687, 13 %, 1 %, [N/A]
2025/06/02 04:09:15.746, 18 %, 2 %, [N/A]
2025/06/02 04:09:20.776, 26 %, 4 %, [N/A]
2025/06/02 04:09:25.820, 30 %, 5 %, [N/A]
2025/06/02 04:09:30.842, 33 %, 5 %, [N/A]
2025/06/02 04:09:35.886, 31 %, 5 %, [N/A]
2025/06/02 04:09:40.903, 31 %, 5 %, [N/A]
2025/06/02 04:09:45.917, 32 %, 5 %, [N/A]
2025/06/02 04:09:50.935, 32 %, 5 %, [N/A]
2025/06/02 04:09:55.938, 33 %, 5 %, [N/A]
2025/06/02 04:10:00.942, 37 %, 6 %, [N/A]
2025/06/02 04:10:05.948, 32 %, 5 %, [N/A]
2025/06/02 04:10:10.955, 33 %, 5 %, [N/A]
2025/06/02 04:10:15.960, 33 %, 6 %, [N/A]
2025/06/02 04:10:20.974, 32 %, 5 %, [N/A]
2025/06/02 04:10:25.985, 34 %, 6 %, [N/A]
2025/06/02 04:10:30.988, 32 %, 5 %, [N/A]
2025/06/02 04:10:35.992, 32 %, 6 %, [N/A]
2025/06/02 04:10:40.999, 35 %, 5 %, [N/A]
2025/06/02 04:10:46.005, 36 %, 6 %, [N/A]
2025/06/02 04:10:51.010, 34 %, 6 %, [N/A]
2025/06/02 04:10:56.023, 33 %, 6 %, [N/A]
2025/06/02 04:11:01.027, 35 %, 5 %, [N/A]
2025/06/02 04:11:06.034, 34 %, 5 %, [N/A]
2025/06/02 04:11:11.043, 33 %, 6 %, [N/A]
2025/06/02 04:11:16.051, 36 %, 6 %, [N/A]
2025/06/02 04:11:21.053, 36 %, 6 %, [N/A]
2025/06/02 04:11:26.057, 33 %, 6 %, [N/A]
2025/06/02 04:11:31.066, 33 %, 6 %, [N/A]
2025/06/02 04:11:36.080, 32 %, 5 %, [N/A]
2025/06/02 04:11:41.118, 27 %, 4 %, [N/A]
2025/06/02 04:11:46.137, 28 %, 5 %, [N/A]
2025/06/02 04:11:51.159, 29 %, 5 %, [N/A]
2025/06/02 04:11:56.183, 29 %, 5 %, [N/A]
2025/06/02 04:12:01.187, 32 %, 5 %, [N/A]
2025/06/02 04:12:06.191, 34 %, 6 %, [N/A]
2025/06/02 04:12:11.202, 34 %, 6 %, [N/A]
2025/06/02 04:12:16.205, 33 %, 5 %, [N/A]
2025/06/02 04:12:21.214, 34 %, 6 %, [N/A]
2025/06/02 04:12:26.219, 36 %, 5 %, [N/A]
2025/06/02 04:12:31.229, 32 %, 6 %, [N/A]
2025/06/02 04:12:36.250, 28 %, 5 %, [N/A]
2025/06/02 04:12:41.296, 23 %, 4 %, [N/A]
2025/06/02 04:12:46.337, 29 %, 5 %, [N/A]
2025/06/02 04:12:51.355, 31 %, 5 %, [N/A]
2025/06/02 04:12:56.362, 32 %, 5 %, [N/A]
2025/06/02 04:13:01.371, 33 %, 5 %, [N/A]
2025/06/02 04:13:06.373, 34 %, 6 %, [N/A]
2025/06/02 04:13:11.382, 33 %, 5 %, [N/A]
2025/06/02 04:13:16.386, 11 %, 1 %, [N/A]
