timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 03:53:01.900, 28 %, 4 %, [N/A]
2025/06/02 03:53:06.905, 26 %, 4 %, [N/A]
2025/06/02 03:53:11.918, 27 %, 4 %, [N/A]
2025/06/02 03:53:16.920, 25 %, 4 %, [N/A]
2025/06/02 03:53:21.932, 25 %, 4 %, [N/A]
2025/06/02 03:53:26.935, 26 %, 4 %, [N/A]
2025/06/02 03:53:31.938, 26 %, 4 %, [N/A]
2025/06/02 03:53:36.948, 28 %, 4 %, [N/A]
2025/06/02 03:53:41.952, 26 %, 4 %, [N/A]
2025/06/02 03:53:46.955, 27 %, 4 %, [N/A]
2025/06/02 03:53:51.958, 28 %, 4 %, [N/A]
2025/06/02 03:53:56.960, 28 %, 4 %, [N/A]
2025/06/02 03:54:01.964, 27 %, 4 %, [N/A]
2025/06/02 03:54:06.968, 26 %, 4 %, [N/A]
2025/06/02 03:54:11.975, 27 %, 4 %, [N/A]
2025/06/02 03:54:16.978, 27 %, 4 %, [N/A]
2025/06/02 03:54:21.984, 26 %, 4 %, [N/A]
2025/06/02 03:54:26.987, 28 %, 4 %, [N/A]
2025/06/02 03:54:31.990, 27 %, 4 %, [N/A]
2025/06/02 03:54:36.992, 28 %, 4 %, [N/A]
2025/06/02 03:54:41.996, 27 %, 4 %, [N/A]
2025/06/02 03:54:47.009, 27 %, 4 %, [N/A]
2025/06/02 03:54:52.017, 26 %, 4 %, [N/A]
2025/06/02 03:54:57.019, 29 %, 4 %, [N/A]
2025/06/02 03:55:02.028, 28 %, 4 %, [N/A]
2025/06/02 03:55:07.034, 28 %, 4 %, [N/A]
2025/06/02 03:55:12.037, 28 %, 4 %, [N/A]
2025/06/02 03:55:17.047, 27 %, 4 %, [N/A]
2025/06/02 03:55:22.056, 27 %, 4 %, [N/A]
2025/06/02 03:55:27.060, 27 %, 4 %, [N/A]
2025/06/02 03:55:32.068, 28 %, 4 %, [N/A]
2025/06/02 03:55:37.073, 27 %, 4 %, [N/A]
2025/06/02 03:55:42.078, 28 %, 4 %, [N/A]
2025/06/02 03:55:47.087, 27 %, 4 %, [N/A]
2025/06/02 03:55:52.098, 26 %, 4 %, [N/A]
2025/06/02 03:55:57.110, 27 %, 4 %, [N/A]
2025/06/02 03:56:02.120, 27 %, 4 %, [N/A]
2025/06/02 03:56:07.128, 27 %, 4 %, [N/A]
2025/06/02 03:56:12.131, 27 %, 4 %, [N/A]
2025/06/02 03:56:17.135, 28 %, 4 %, [N/A]
2025/06/02 03:56:22.139, 28 %, 4 %, [N/A]
2025/06/02 03:56:27.148, 27 %, 4 %, [N/A]
2025/06/02 03:56:32.158, 30 %, 4 %, [N/A]
2025/06/02 03:56:37.164, 28 %, 5 %, [N/A]
2025/06/02 03:56:42.193, 27 %, 4 %, [N/A]
2025/06/02 03:56:47.198, 27 %, 4 %, [N/A]
2025/06/02 03:56:52.200, 26 %, 4 %, [N/A]
2025/06/02 03:56:57.204, 27 %, 4 %, [N/A]
2025/06/02 03:57:02.210, 27 %, 4 %, [N/A]
2025/06/02 03:57:07.225, 25 %, 4 %, [N/A]
2025/06/02 03:57:12.228, 9 %, 1 %, [N/A]
