timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/05/31 20:47:31.522, 31 %, 5 %, [N/A], 0
2025/05/31 20:47:36.533, 29 %, 4 %, [N/A], 0
2025/05/31 20:47:41.553, 29 %, 4 %, [N/A], 0
2025/05/31 20:47:46.569, 30 %, 4 %, [N/A], 0
2025/05/31 20:47:51.572, 29 %, 4 %, [N/A], 0
2025/05/31 20:47:56.583, 29 %, 5 %, [N/A], 0
2025/05/31 20:48:01.611, 30 %, 4 %, [N/A], 0
2025/05/31 20:48:06.634, 30 %, 5 %, [N/A], 0
2025/05/31 20:48:11.645, 29 %, 4 %, [N/A], 0
2025/05/31 20:48:16.659, 33 %, 5 %, [N/A], 0
2025/05/31 20:48:21.673, 32 %, 4 %, [N/A], 0
2025/05/31 20:48:26.685, 27 %, 4 %, [N/A], 0
2025/05/31 20:48:31.698, 27 %, 4 %, [N/A], 0
2025/05/31 20:48:36.822, 27 %, 4 %, [N/A], 0
2025/05/31 20:48:41.861, 27 %, 4 %, [N/A], 0
2025/05/31 20:48:46.870, 27 %, 4 %, [N/A], 0
2025/05/31 20:48:51.877, 29 %, 4 %, [N/A], 0
2025/05/31 20:48:56.884, 29 %, 4 %, [N/A], 0
2025/05/31 20:49:01.895, 28 %, 4 %, [N/A], 0
2025/05/31 20:49:06.912, 25 %, 4 %, [N/A], 0
2025/05/31 20:49:12.017, 26 %, 5 %, [N/A], 0
2025/05/31 20:49:17.089, 22 %, 3 %, [N/A], 0
2025/05/31 20:49:22.192, 27 %, 5 %, [N/A], 0
2025/05/31 20:49:27.204, 26 %, 4 %, [N/A], 0
2025/05/31 20:49:32.233, 20 %, 3 %, [N/A], 0
2025/05/31 20:49:37.267, 24 %, 5 %, [N/A], 0
2025/05/31 20:49:42.271, 30 %, 5 %, [N/A], 0
2025/05/31 20:49:47.284, 24 %, 4 %, [N/A], 0
2025/05/31 20:49:52.301, 30 %, 5 %, [N/A], 0
2025/05/31 20:49:57.307, 23 %, 4 %, [N/A], 0
2025/05/31 20:50:02.314, 30 %, 5 %, [N/A], 0
2025/05/31 20:50:07.320, 30 %, 5 %, [N/A], 0
2025/05/31 20:50:12.331, 30 %, 5 %, [N/A], 0
2025/05/31 20:50:17.336, 29 %, 5 %, [N/A], 0
2025/05/31 20:50:22.349, 29 %, 5 %, [N/A], 0
2025/05/31 20:50:27.355, 29 %, 5 %, [N/A], 0
2025/05/31 20:50:32.360, 29 %, 5 %, [N/A], 0
2025/05/31 20:50:37.362, 30 %, 5 %, [N/A], 0
2025/05/31 20:50:42.371, 30 %, 5 %, [N/A], 0
2025/05/31 20:50:47.376, 31 %, 5 %, [N/A], 0
2025/05/31 20:50:52.383, 31 %, 5 %, [N/A], 0
2025/05/31 20:50:57.389, 30 %, 5 %, [N/A], 0
2025/05/31 20:51:02.409, 31 %, 5 %, [N/A], 0
2025/05/31 20:51:07.415, 30 %, 5 %, [N/A], 0
2025/05/31 20:51:12.423, 34 %, 5 %, [N/A], 0
2025/05/31 20:51:17.426, 31 %, 5 %, [N/A], 0
2025/05/31 20:51:22.433, 30 %, 5 %, [N/A], 0
2025/05/31 20:51:27.452, 30 %, 5 %, [N/A], 0
2025/05/31 20:51:32.462, 30 %, 5 %, [N/A], 0
2025/05/31 20:51:37.473, 29 %, 5 %, [N/A], 0
2025/05/31 20:51:42.491, 30 %, 5 %, [N/A], 0
2025/05/31 20:51:47.505, 29 %, 5 %, [N/A], 0
2025/05/31 20:51:52.542, 26 %, 4 %, [N/A], 0
2025/05/31 20:51:57.589, 20 %, 2 %, [N/A], 0
2025/05/31 20:52:02.642, 27 %, 4 %, [N/A], 0
2025/05/31 20:52:07.706, 28 %, 4 %, [N/A], 0
2025/05/31 20:52:12.761, 28 %, 4 %, [N/A], 0
2025/05/31 20:52:17.792, 29 %, 4 %, [N/A], 0
2025/05/31 20:52:22.842, 29 %, 4 %, [N/A], 0
2025/05/31 20:52:27.859, 27 %, 4 %, [N/A], 0
2025/05/31 20:52:32.890, 33 %, 5 %, [N/A], 0
2025/05/31 20:52:37.911, 31 %, 5 %, [N/A], 0
2025/05/31 20:52:42.933, 28 %, 4 %, [N/A], 0
2025/05/31 20:52:47.939, 30 %, 5 %, [N/A], 0
2025/05/31 20:52:52.945, 30 %, 5 %, [N/A], 0
2025/05/31 20:52:57.965, 30 %, 5 %, [N/A], 0
2025/05/31 20:53:02.972, 31 %, 5 %, [N/A], 0
2025/05/31 20:53:07.976, 30 %, 5 %, [N/A], 0
2025/05/31 20:53:12.979, 32 %, 5 %, [N/A], 0
2025/05/31 20:53:17.990, 32 %, 5 %, [N/A], 0
2025/05/31 20:53:22.999, 30 %, 5 %, [N/A], 0
2025/05/31 20:53:28.012, 30 %, 5 %, [N/A], 0
2025/05/31 20:53:33.022, 31 %, 5 %, [N/A], 0
2025/05/31 20:53:38.024, 31 %, 5 %, [N/A], 0
2025/05/31 20:53:43.034, 30 %, 5 %, [N/A], 0
2025/05/31 20:53:48.042, 29 %, 5 %, [N/A], 0
2025/05/31 20:53:53.047, 29 %, 5 %, [N/A], 0
2025/05/31 20:53:58.058, 30 %, 5 %, [N/A], 0
2025/05/31 20:54:03.074, 30 %, 5 %, [N/A], 0
2025/05/31 20:54:08.078, 32 %, 5 %, [N/A], 0
2025/05/31 20:54:13.083, 31 %, 5 %, [N/A], 0
2025/05/31 20:54:18.175, 27 %, 5 %, [N/A], 0
2025/05/31 20:54:23.211, 28 %, 5 %, [N/A], 0
2025/05/31 20:54:28.221, 30 %, 5 %, [N/A], 0
2025/05/31 20:54:33.233, 30 %, 5 %, [N/A], 0
2025/05/31 20:54:38.237, 29 %, 4 %, [N/A], 0
2025/05/31 20:54:43.244, 31 %, 5 %, [N/A], 0
2025/05/31 20:54:48.257, 30 %, 5 %, [N/A], 0
2025/05/31 20:54:53.261, 29 %, 5 %, [N/A], 0
2025/05/31 20:54:58.273, 32 %, 5 %, [N/A], 0
2025/05/31 20:55:03.281, 30 %, 5 %, [N/A], 0
2025/05/31 20:55:08.294, 33 %, 5 %, [N/A], 0
2025/05/31 20:55:13.304, 29 %, 5 %, [N/A], 0
2025/05/31 20:55:18.310, 29 %, 5 %, [N/A], 0
2025/05/31 20:55:23.322, 29 %, 5 %, [N/A], 0
2025/05/31 20:55:28.326, 30 %, 5 %, [N/A], 0
2025/05/31 20:55:33.332, 28 %, 4 %, [N/A], 0
2025/05/31 20:55:38.339, 29 %, 5 %, [N/A], 0
2025/05/31 20:55:43.356, 32 %, 5 %, [N/A], 0
2025/05/31 20:55:48.361, 29 %, 5 %, [N/A], 0
2025/05/31 20:55:53.371, 30 %, 5 %, [N/A], 0
2025/05/31 20:55:58.375, 31 %, 5 %, [N/A], 0
2025/05/31 20:56:03.379, 31 %, 4 %, [N/A], 0
2025/05/31 20:56:08.393, 31 %, 5 %, [N/A], 0
2025/05/31 20:56:13.411, 32 %, 5 %, [N/A], 0
2025/05/31 20:56:18.420, 29 %, 5 %, [N/A], 0
2025/05/31 20:56:23.445, 29 %, 5 %, [N/A], 0
2025/05/31 20:56:28.472, 29 %, 5 %, [N/A], 0
2025/05/31 20:56:33.479, 31 %, 5 %, [N/A], 0
2025/05/31 20:56:38.485, 29 %, 5 %, [N/A], 0
2025/05/31 20:56:43.493, 29 %, 5 %, [N/A], 0
2025/05/31 20:56:48.507, 30 %, 4 %, [N/A], 0
2025/05/31 20:56:53.521, 30 %, 5 %, [N/A], 0
2025/05/31 20:56:58.529, 31 %, 5 %, [N/A], 0
2025/05/31 20:57:03.538, 29 %, 5 %, [N/A], 0
2025/05/31 20:57:08.552, 29 %, 5 %, [N/A], 0
2025/05/31 20:57:13.595, 30 %, 5 %, [N/A], 0
2025/05/31 20:57:18.607, 29 %, 5 %, [N/A], 0
2025/05/31 20:57:23.613, 29 %, 5 %, [N/A], 0
2025/05/31 20:57:28.631, 30 %, 5 %, [N/A], 0
2025/05/31 20:57:33.641, 30 %, 5 %, [N/A], 0
2025/05/31 20:57:38.648, 29 %, 5 %, [N/A], 0
2025/05/31 20:57:43.668, 30 %, 5 %, [N/A], 0
2025/05/31 20:57:48.673, 29 %, 5 %, [N/A], 0
2025/05/31 20:57:53.692, 29 %, 5 %, [N/A], 0
2025/05/31 20:57:58.696, 29 %, 5 %, [N/A], 0
2025/05/31 20:58:03.701, 30 %, 5 %, [N/A], 0
2025/05/31 20:58:08.709, 33 %, 5 %, [N/A], 0
2025/05/31 20:58:13.728, 30 %, 5 %, [N/A], 0
2025/05/31 20:58:18.753, 31 %, 5 %, [N/A], 0
2025/05/31 20:58:23.760, 29 %, 5 %, [N/A], 0
2025/05/31 20:58:28.779, 28 %, 4 %, [N/A], 0
2025/05/31 20:58:33.793, 30 %, 5 %, [N/A], 0
2025/05/31 20:58:38.798, 29 %, 5 %, [N/A], 0
2025/05/31 20:58:43.805, 30 %, 5 %, [N/A], 0
2025/05/31 20:58:48.810, 32 %, 5 %, [N/A], 0
2025/05/31 20:58:53.824, 30 %, 5 %, [N/A], 0
2025/05/31 20:58:58.827, 29 %, 4 %, [N/A], 0
2025/05/31 20:59:03.834, 29 %, 5 %, [N/A], 0
2025/05/31 20:59:08.840, 29 %, 5 %, [N/A], 0
2025/05/31 20:59:13.850, 30 %, 5 %, [N/A], 0
2025/05/31 20:59:18.852, 31 %, 5 %, [N/A], 0
2025/05/31 20:59:23.859, 31 %, 5 %, [N/A], 0
2025/05/31 20:59:28.870, 31 %, 5 %, [N/A], 0
2025/05/31 20:59:33.876, 31 %, 5 %, [N/A], 0
2025/05/31 20:59:38.891, 29 %, 5 %, [N/A], 0
2025/05/31 20:59:43.902, 30 %, 5 %, [N/A], 0
2025/05/31 20:59:48.917, 31 %, 5 %, [N/A], 0
2025/05/31 20:59:53.930, 31 %, 5 %, [N/A], 0
2025/05/31 20:59:58.939, 31 %, 5 %, [N/A], 0
2025/05/31 21:00:03.942, 30 %, 5 %, [N/A], 0
2025/05/31 21:00:08.967, 27 %, 4 %, [N/A], 0
2025/05/31 21:00:14.024, 8 %, 2 %, [N/A], 0
2025/05/31 21:00:19.142, 22 %, 2 %, [N/A], 0
2025/05/31 21:00:24.193, 14 %, 1 %, [N/A], 0
2025/05/31 21:00:29.208, 22 %, 1 %, [N/A], 0
2025/05/31 21:00:34.212, 19 %, 1 %, [N/A], 0
2025/05/31 21:00:39.226, 34 %, 11 %, [N/A], 0
2025/05/31 21:00:44.240, 35 %, 12 %, [N/A], 0
2025/05/31 21:00:49.244, 36 %, 13 %, [N/A], 0
2025/05/31 21:00:54.249, 38 %, 13 %, [N/A], 0
2025/05/31 21:00:59.256, 32 %, 11 %, [N/A], 0
2025/05/31 21:01:04.259, 35 %, 12 %, [N/A], 0
2025/05/31 21:01:09.263, 36 %, 12 %, [N/A], 0
2025/05/31 21:01:14.271, 17 %, 6 %, [N/A], 0
