timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/06/02 05:53:17.268, 22 %, 4 %, [N/A], 0
2025/06/02 05:53:22.529, 22 %, 4 %, [N/A], 0
2025/06/02 05:53:27.592, 28 %, 5 %, [N/A], 0
2025/06/02 05:53:32.816, 28 %, 5 %, [N/A], 0
2025/06/02 05:53:38.338, 28 %, 5 %, [N/A], 0
2025/06/02 05:53:43.880, 30 %, 5 %, [N/A], 0
2025/06/02 05:53:48.924, 32 %, 6 %, [N/A], 0
2025/06/02 05:53:53.952, 31 %, 6 %, [N/A], 0
2025/06/02 05:53:59.015, 33 %, 6 %, [N/A], 0
2025/06/02 05:54:04.323, 30 %, 5 %, [N/A], 0
2025/06/02 05:54:09.765, 28 %, 5 %, [N/A], 0
2025/06/02 05:54:14.962, 30 %, 5 %, [N/A], 0
2025/06/02 05:54:20.069, 28 %, 5 %, [N/A], 0
2025/06/02 05:54:25.370, 31 %, 5 %, [N/A], 0
2025/06/02 05:54:30.400, 31 %, 6 %, [N/A], 0
2025/06/02 05:54:35.405, 31 %, 5 %, [N/A], 0
2025/06/02 05:54:40.411, 31 %, 5 %, [N/A], 0
2025/06/02 05:54:45.419, 31 %, 6 %, [N/A], 0
2025/06/02 05:54:50.447, 32 %, 6 %, [N/A], 0
2025/06/02 05:54:55.470, 35 %, 7 %, [N/A], 0
2025/06/02 05:55:00.489, 34 %, 7 %, [N/A], 0
2025/06/02 05:55:05.509, 34 %, 7 %, [N/A], 0
2025/06/02 05:55:10.529, 37 %, 7 %, [N/A], 0
2025/06/02 05:55:15.818, 28 %, 5 %, [N/A], 0
2025/06/02 05:55:20.880, 35 %, 7 %, [N/A], 0
2025/06/02 05:55:26.403, 29 %, 5 %, [N/A], 0
2025/06/02 05:55:32.778, 33 %, 6 %, [N/A], 0
2025/06/02 05:55:38.259, 31 %, 6 %, [N/A], 0
2025/06/02 05:55:44.399, 32 %, 7 %, [N/A], 0
2025/06/02 05:55:49.701, 33 %, 7 %, [N/A], 0
2025/06/02 05:55:55.011, 34 %, 7 %, [N/A], 0
2025/06/02 05:56:00.165, 33 %, 7 %, [N/A], 0
2025/06/02 05:56:05.399, 35 %, 7 %, [N/A], 0
2025/06/02 05:56:10.460, 32 %, 7 %, [N/A], 0
2025/06/02 05:56:15.724, 32 %, 7 %, [N/A], 0
2025/06/02 05:56:21.013, 33 %, 6 %, [N/A], 0
2025/06/02 05:56:26.024, 29 %, 5 %, [N/A], 0
2025/06/02 05:56:31.069, 31 %, 7 %, [N/A], 0
2025/06/02 05:56:36.443, 33 %, 7 %, [N/A], 0
2025/06/02 05:56:41.577, 30 %, 6 %, [N/A], 0
2025/06/02 05:56:46.677, 32 %, 7 %, [N/A], 0
2025/06/02 05:56:51.729, 34 %, 7 %, [N/A], 0
2025/06/02 05:56:56.929, 35 %, 7 %, [N/A], 0
2025/06/02 05:57:02.295, 33 %, 7 %, [N/A], 0
2025/06/02 05:57:07.349, 33 %, 7 %, [N/A], 0
2025/06/02 05:57:12.579, 34 %, 7 %, [N/A], 0
2025/06/02 05:57:17.698, 34 %, 7 %, [N/A], 0
2025/06/02 05:57:22.827, 35 %, 7 %, [N/A], 0
2025/06/02 05:57:28.010, 33 %, 7 %, [N/A], 0
2025/06/02 05:57:33.083, 26 %, 5 %, [N/A], 0
2025/06/02 05:57:38.113, 10 %, 0 %, [N/A], 0
