timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 03:06:16.043, 35 %, 7 %, [N/A]
2025/06/02 03:06:21.062, 36 %, 7 %, [N/A]
2025/06/02 03:06:26.076, 34 %, 7 %, [N/A]
2025/06/02 03:06:31.119, 36 %, 7 %, [N/A]
2025/06/02 03:06:36.143, 37 %, 8 %, [N/A]
2025/06/02 03:06:41.178, 32 %, 7 %, [N/A]
2025/06/02 03:06:46.197, 36 %, 8 %, [N/A]
2025/06/02 03:06:51.225, 35 %, 7 %, [N/A]
2025/06/02 03:06:56.259, 33 %, 7 %, [N/A]
2025/06/02 03:07:01.307, 36 %, 7 %, [N/A]
2025/06/02 03:07:06.337, 36 %, 7 %, [N/A]
2025/06/02 03:07:11.363, 33 %, 6 %, [N/A]
2025/06/02 03:07:16.378, 35 %, 7 %, [N/A]
2025/06/02 03:07:21.399, 36 %, 8 %, [N/A]
2025/06/02 03:07:26.462, 33 %, 6 %, [N/A]
2025/06/02 03:07:31.507, 34 %, 6 %, [N/A]
2025/06/02 03:07:36.569, 34 %, 7 %, [N/A]
2025/06/02 03:07:41.598, 32 %, 7 %, [N/A]
2025/06/02 03:07:46.679, 34 %, 7 %, [N/A]
2025/06/02 03:07:51.699, 33 %, 7 %, [N/A]
2025/06/02 03:07:56.708, 31 %, 6 %, [N/A]
2025/06/02 03:08:01.713, 35 %, 7 %, [N/A]
2025/06/02 03:08:06.722, 34 %, 7 %, [N/A]
2025/06/02 03:08:11.741, 28 %, 5 %, [N/A]
2025/06/02 03:08:16.755, 35 %, 7 %, [N/A]
2025/06/02 03:08:21.763, 36 %, 7 %, [N/A]
2025/06/02 03:08:26.800, 34 %, 7 %, [N/A]
2025/06/02 03:08:31.823, 34 %, 7 %, [N/A]
2025/06/02 03:08:36.848, 36 %, 7 %, [N/A]
2025/06/02 03:08:41.881, 31 %, 6 %, [N/A]
2025/06/02 03:08:46.908, 36 %, 7 %, [N/A]
2025/06/02 03:08:51.930, 36 %, 7 %, [N/A]
2025/06/02 03:08:56.976, 35 %, 7 %, [N/A]
2025/06/02 03:09:01.994, 37 %, 7 %, [N/A]
2025/06/02 03:09:07.046, 36 %, 8 %, [N/A]
2025/06/02 03:09:12.079, 37 %, 7 %, [N/A]
2025/06/02 03:09:17.099, 36 %, 8 %, [N/A]
2025/06/02 03:09:22.119, 36 %, 7 %, [N/A]
2025/06/02 03:09:27.149, 35 %, 7 %, [N/A]
2025/06/02 03:09:32.189, 36 %, 7 %, [N/A]
2025/06/02 03:09:37.208, 35 %, 7 %, [N/A]
2025/06/02 03:09:42.211, 36 %, 7 %, [N/A]
2025/06/02 03:09:47.223, 36 %, 7 %, [N/A]
2025/06/02 03:09:52.249, 34 %, 7 %, [N/A]
2025/06/02 03:09:57.309, 35 %, 7 %, [N/A]
2025/06/02 03:10:02.323, 36 %, 8 %, [N/A]
2025/06/02 03:10:07.378, 28 %, 5 %, [N/A]
2025/06/02 03:10:12.427, 31 %, 6 %, [N/A]
2025/06/02 03:10:17.434, 32 %, 6 %, [N/A]
2025/06/02 03:10:22.453, 29 %, 5 %, [N/A]
2025/06/02 03:10:27.469, 29 %, 5 %, [N/A]
2025/06/02 03:10:32.634, 30 %, 6 %, [N/A]
2025/06/02 03:10:37.900, 17 %, 3 %, [N/A]
2025/06/02 03:10:42.997, 31 %, 6 %, [N/A]
2025/06/02 03:10:48.006, 9 %, 1 %, [N/A]
2025/06/02 03:10:53.010, 19 %, 9 %, [N/A]
2025/06/02 03:10:58.181, 20 %, 8 %, [N/A]
2025/06/02 03:11:03.429, 11 %, 1 %, [N/A]
